,date,NVDA open,AMD open,INTC open,ATVI open,EA open,Curde oil,Gold,Nasdaq index,ETH-USD open,BTC-USD open
239,3-Nov-20,127.08,74.93,44.73,76.58,120.75,37.03,1891.5,11038.66,383.16,13550.45
240,2-Nov-20,126.58,75.85,44.96,76.55,120.94,35.24,1872.9,11010.45,396.36,13737.03
241,30-Oct-20,128.5,77.09,44.1,77.45,122.99,36.07,1862.8,11103.47,386.73,13437.87
242,29-Oct-20,128.38,76.75,44.24,78.96,125.79,37.39,1876.1,11064.47,388.65,13271.3
243,28-Oct-20,131.98,78.73,44.89,80.18,125.62,38.97,1870.9,11230.9,404.0,13654.21
244,27-Oct-20,133.06,82.0,45.98,81.0,127.36,38.59,1904.6,11409.34,393.89,13075.24
245,26-Oct-20,134.27,82.55,47.85,80.75,126.41,39.69,1895.5,11440.64,406.22,13031.2
246,23-Oct-20,134.5,80.93,48.35,81.0,127.24,40.61,1899.9,11536.01,414.05,12971.55
247,22-Oct-20,135.23,79.65,53.12,82.21,127.78,40.04,1924.3,11526.97,391.49,12801.64
248,21-Oct-20,136.25,81.72,53.14,80.99,127.98,41.22,1913.6,11530.39,369.06,11913.08
249,20-Oct-20,135.84,82.16,54.6,80.5,130.42,40.65,1901.3,11531.83,379.72,11745.97
250,19-Oct-20,139.03,83.62,54.47,82.28,133.14,40.69,1907.3,11732.34,378.47,11495.04
251,16-Oct-20,140.37,83.54,53.9,80.95,132.5,40.88,1898.5,11761.83,377.87,11502.83
252,15-Oct-20,138.11,83.4,52.75,81.02,131.07,41.13,1897.3,11559.88,379.19,11426.6
253,14-Oct-20,142.9,85.86,54.01,82.51,133.79,40.19,1889.7,11889.07,381.97,11429.05
254,13-Oct-20,142.96,84.86,54.27,81.44,131.87,39.53,1921.9,11901.76,372.0,11241.195
255,12-Oct-20,139.9,83.65,53.55,79.28,128.98,40.4,1924.0,11732.33,362.03,11053.34
256,9-Oct-20,137.67,84.74,53.55,78.19,126.86,41.31,1909.3,11487.6,352.06,10865.484999999999
257,8-Oct-20,140.75,88.11,52.91,78.7,126.1,39.99,1893.0,11443.35,342.09,10677.63
258,7-Oct-20,140.0,86.1,51.85,78.68,126.41,39.83,1874.1,11271.68,341.09,10619.8
259,6-Oct-20,138.3,86.21,51.71,79.77,130.36,39.35,1906.6,11314.53,354.14,10799.78
260,5-Oct-20,132.36,82.55,51.3,79.36,130.09,37.0,1898.9,11169.11,353.05,10688.03
261,2-Oct-20,132.25,82.58,51.5,81.99,131.37,38.6,1893.9,11082.53,353.22,10624.39
262,1-Oct-20,137.58,83.06,52.4,81.72,132.07,39.9,1884.1,11291.99,360.0,10785.01
263,30-Sep-20,131.57,81.75,51.24,80.61,129.73,39.16,1893.0,11092.9,359.94,10845.41
264,29-Sep-20,129.38,79.3,51.31,81.83,132.06,40.58,1876.5,11109.0,354.97,10712.46
265,28-Sep-20,130.4,79.12,50.51,81.63,133.36,40.07,1872.8,11084.38,357.31,10771.64
266,25-Sep-20,124.47,76.35,48.96,79.88,129.51,40.15,1856.3,10680.46,349.36,10747.47
267,24-Sep-20,120.72,74.54,48.53,79.28,128.21,39.6,1851.5,10551.02,320.62,10227.48
268,23-Sep-20,125.75,77.39,49.83,82.53,131.57,39.76,1875.5,10950.82,344.62,10539.46
269,22-Sep-20,125.75,78.36,49.89,82.31,129.84,39.63,1913.1,10873.3,341.72,10459.62
270,21-Sep-20,119.25,74.23,49.39,79.64,124.33,40.98,1946.2,10610.14,371.4,10934.93
271,18-Sep-20,125.94,77.0,50.33,79.33,125.49,40.97,1950.5,10973.45,389.34,10951.82
272,17-Sep-20,121.32,74.88,49.37,78.06,124.22,40.19,1939.0,10796.05,365.87,10973.25
273,16-Sep-20,129.57,79.35,50.51,81.68,128.99,38.35,1961.3,11222.08,364.74,10797.76
274,15-Sep-20,132.8,77.66,49.79,80.0,127.99,37.28,1955.8,11193.96,377.15,10677.75
275,14-Sep-20,130.81,76.8,48.85,79.04,127.93,37.32,1946.3,11010.14,365.7,10328.73
276,11-Sep-20,124.86,79.82,49.26,79.83,127.99,37.01,1944.0,11010.07,368.12,10369.03
277,10-Sep-20,129.89,83.07,50.0,80.29,129.88,37.8,1944.1,11235.53,351.43,10242.33
278,9-Sep-20,124.0,81.4,49.53,77.85,126.54,36.79,1926.9,11064.76,337.82,10134.15
279,8-Sep-20,117.35,78.05,49.26,76.58,127.46,39.48,1930.9,10900.7,353.2,10369.31
280,4-Sep-20,127.84,81.45,50.53,79.1,131.63,41.25,1927.9,11396.24,384.67,10230.37
281,3-Sep-20,138.29,87.84,52.5,82.96,138.24,41.63,1937.1,11861.9,440.24,11407.19
282,2-Sep-20,147.04,94.01,51.21,83.58,138.0,43.02,1967.3,12047.26,477.01,11964.82
283,1-Sep-20,134.8,91.92,50.91,83.84,140.74,42.83,1961.7,11850.96,434.87,11679.32
284,31-Aug-20,131.83,85.05,51.0,82.81,141.08,42.91,1970.0,11718.81,428.51,11713.31
285,28-Aug-20,126.75,84.3,49.57,83.95,142.34,42.98,1927.1,11689.28,382.63,11325.3
286,27-Aug-20,127.82,86.35,49.79,85.0,143.38,43.45,1948.9,11688.19,386.61,11485.61
287,26-Aug-20,127.99,86.97,49.39,83.83,142.06,43.39,1909.7,11516.62,383.98,11366.89
288,25-Aug-20,126.31,83.36,49.35,82.93,142.01,42.36,1927.5,11370.23,408.07,11773.59
289,24-Aug-20,128.84,84.55,49.26,83.34,142.27,42.48,1930.2,11449.25,391.68,11663.69
290,21-Aug-20,122.02,83.29,49.02,84.05,142.76,42.75,1941.0,11258.44,416.15,11878.03
291,20-Aug-20,119.75,79.74,49.81,82.02,141.62,42.74,1941.2,11096.4,406.76,11761.5
292,19-Aug-20,122.96,81.78,48.79,82.95,142.28,42.6,1980.0,11214.8,423.74,11990.88
293,18-Aug-20,124.5,82.8,49.26,82.6,140.6,42.79,2001.1,11170.75,429.67,12251.9
294,17-Aug-20,118.51,82.09,49.11,80.97,139.25,42.24,1949.6,11083.25,433.97,11895.66
295,14-Aug-20,115.3,81.81,48.73,81.97,141.64,42.33,1938.7,11042.24,428.68,11772.66
296,13-Aug-20,115.46,82.88,49.26,82.28,141.12,42.57,1921.5,11026.86,390.84,11588.41
297,12-Aug-20,109.91,78.43,48.67,79.58,136.88,41.62,1923.0,10878.12,380.06,11404.6
298,11-Aug-20,110.74,80.71,49.63,81.51,141.15,41.98,2012.4,10942.66,395.89,11881.65
299,10-Aug-20,113.34,85.05,48.2,82.43,142.77,41.5,2026.4,11033.73,391.04,11662.26
